Id;R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Ass;Amm;Esp;Au
4312;P;Maignan;Milan;17;6,29;5,76;0;14;0;2;0;0
5841;P;Svilar;Roma;19;6,37;5,74;0;12;0;0;0;0
6966;P;Butez;Como;18;6,14;5,61;0;12;0;1;0;0
2170;P;Milinkovic-Savic V.;Napoli;14;6,18;5,82;0;11;0;0;0;0
4431;P;Carnesecchi;Atalanta;19;6,26;5,42;0;19;0;0;0;0
2814;P;Provedel;Lazio;19;6,21;5,37;0;16;0;0;0;0
761;P;Audero;Cremonese;15;6,37;5,3;0;16;0;0;0;0
5876;P;Di Gregorio;Juventus;17;6,15;5,29;0;14;0;1;0;0
2134;P;Falcone;Lecce;18;6,39;5,28;0;25;0;2;0;0
2428;P;Sommer;Inter;16;5,91;5,03;0;14;0;0;0;0
133;P;Skorupski;Bologna;9;6,22;5,28;0;8;0;1;0;0
4360;P;Caprile;Cagliari;19;6,37;4,92;0;27;0;1;0;0
4236;P;Muric;Sassuolo;18;6,19;4,83;0;23;0;3;0;0
2521;P;De Gea;Fiorentina;19;6,18;4,76;0;30;0;0;0;0
5320;P;Paleari;Torino;10;6,1;4,85;0;12;0;1;0;0
2722;P;Ravaglia F.;Bologna;8;6,44;5;0;11;0;1;0;0
6662;P;Corvi;Parma;7;6;4,93;0;7;0;1;0;0
6641;P;Suzuki;Parma;11;6;4,95;0;14;0;1;0;0
2861;P;Semper;Pisa;17;6,18;4,71;0;25;0;0;0;0
6462;P;Okoye;Udinese;11;5,82;4,73;0;14;0;0;1;0
4957;P;Montipò;Verona;18;6,17;4,67;0;30;0;0;0;0
188;P;Leali;Genoa;18;6,11;4,61;0;25;0;2;1;0
572;P;Meret;Napoli;4;6,12;5,12;0;4;0;0;0;0
543;P;Padelli;Udinese;2;6,25;5,25;0;2;0;0;0;0
5135;P;Guaita;Parma;0;0;0;0;0;0;0;0;0
7172;P;Pessina Mas.;Bologna;1;6;6;0;0;0;0;0;0
5116;P;Martinez Jo.;Inter;2;6,25;5,75;0;1;0;0;0;0
218;P;Perin;Juventus;2;6;5;0;2;0;0;0;0
7179;P;Israel;Torino;9;5,89;3,83;0;18;0;1;0;0
6842;P;Sava;Udinese;7;5,57;3,5;0;14;0;1;0;0
2211;P;Silvestri;Cremonese;4;6,38;4,62;0;7;0;0;0;0
2297;P;Rossi F.;Atalanta;0;0;0;0;0;0;0;0;0
4;P;Sportiello;Atalanta;0;0;0;0;0;0;0;0;0
4929;P;Ciocci;Cagliari;0;0;0;0;0;0;0;0;0
3;P;Radunovic;Cagliari;0;0;0;0;0;0;0;0;0
2809;P;Vigorito;Como;0;0;0;0;0;0;0;0;0
6505;P;Nava;Cremonese;0;0;0;0;0;0;0;0;0
6403;P;Christensen O.;Fiorentina;0;0;0;0;0;0;0;0;0
6184;P;Martinelli T.;Fiorentina;0;0;0;0;0;0;0;0;0
6991;P;Siegrist;Genoa;0;0;0;0;0;0;0;0;0
219;P;Sommariva;Genoa;2;5,75;3,75;0;4;0;0;0;0
1926;P;Di Gennaro;Inter;0;0;0;0;0;0;0;0;0
1930;P;Pinsoglio;Juventus;0;0;0;0;0;0;0;0;0
6417;P;Furlanetto;Lazio;0;0;0;0;0;0;0;0;0
6482;P;Mandas;Lazio;0;0;0;0;0;0;0;0;0
2401;P;Fruchtl;Lecce;0;0;0;0;0;0;0;0;0
6523;P;Samooja;Lecce;0;0;0;0;0;0;0;0;0
2815;P;Terracciano;Milan;2;6;6;0;0;0;0;0;0
6813;P;Torriani;Milan;0;0;0;0;0;0;0;0;0
2845;P;Contini;Napoli;0;0;0;0;0;0;0;0;0
5338;P;Rinaldi;Parma;0;0;0;0;0;0;0;0;0
2271;P;Nicolas;Pisa;0;0;0;0;0;0;0;0;0
574;P;Scuffet;Pisa;2;6;4,5;0;3;0;0;0;0
7169;P;Zelezny;Roma;0;0;0;0;0;0;0;0;0
610;P;Gollini;Roma;0;0;0;0;0;0;0;0;0
4518;P;Russo A.;Sassuolo;0;0;0;0;0;0;0;0;0
2127;P;Satalino;Sassuolo;0;0;0;0;0;0;0;0;0
4867;P;Turati;Sassuolo;1;5,5;3,5;0;2;0;0;0;0
216;P;Donnarumma An.;Torino;0;0;0;0;0;0;0;0;0
6210;P;Popa;Torino;0;0;0;0;0;0;0;0;0
511;P;Perilli;Verona;0;0;0;0;0;0;0;0;0
6125;P;Vasquez D.;Roma;0;0;0;0;0;0;0;0;0
7185;P;Nunziante;Udinese;0;0;0;0;0;0;0;0;0
158;P;Lezzerini;Fiorentina;0;0;0;0;0;0;0;0;0
7236;P;Toniolo;Verona;0;0;0;0;0;0;0;0;0
7261;P;Cavlina;Como;0;0;0;0;0;0;0;0;0
7285;P;Ferrante;Napoli;0;0;0;0;0;0;0;0;0
7042;P;Calligaris;Inter;0;0;0;0;0;0;0;0;0
7301;P;Tornqvist;Como;0;0;0;0;0;0;0;0;0
6650;P;Sherri;Cagliari;0;0;0;0;0;0;0;0;0
254;D;Dimarco;Inter;17;6,62;7,53;3;0;7;1;0;0
1852;D;Spinazzola;Napoli;13;6,46;7,12;2;0;3;1;0;0
2120;D;Bastoni;Inter;16;6,25;6,53;1;0;3;3;0;0
6832;D;Palestra;Cagliari;18;6,39;6,53;0;0;3;1;0;0
5022;D;Pavlovic;Milan;17;6,24;6,53;2;0;0;2;0;0
7181;D;Wesley;Roma;17;6,15;6,56;3;0;0;4;0;0
5678;D;Holm;Bologna;8;6,25;7;1;0;4;0;1;0
5877;D;Carlos Augusto;Inter;13;6,23;6,46;1;0;1;2;0;0
